"GAL3.allele"	"GAL80.allele"	"GAL4.allele"
"GAL3.28"	"GAL80.33"	"GAL4.WT"
"GAL3.29"	"GAL80.33"	"GAL4.WT"
"GAL3.30"	"GAL80.33"	"GAL4.WT"
"GAL3.31"	"GAL80.33"	"GAL4.WT"
"GAL3.32"	"GAL80.33"	"GAL4.WT"
"GAL3.33"	"GAL80.33"	"GAL4.WT"
"GAL3.34"	"GAL80.33"	"GAL4.WT"
"GAL3.35"	"GAL80.33"	"GAL4.WT"
"GAL3.36"	"GAL80.33"	"GAL4.WT"
"GAL3.37"	"GAL80.33"	"GAL4.WT"
"GAL3.38"	"GAL80.33"	"GAL4.WT"
"GAL3.39"	"GAL80.33"	"GAL4.WT"
"GAL3.40"	"GAL80.33"	"GAL4.WT"
"GAL3.41"	"GAL80.33"	"GAL4.WT"
"GAL3.42"	"GAL80.33"	"GAL4.WT"
"GAL3.43"	"GAL80.33"	"GAL4.WT"
"GAL3.44"	"GAL80.33"	"GAL4.WT"
"GAL3.45"	"GAL80.33"	"GAL4.WT"
"GAL3.46"	"GAL80.33"	"GAL4.WT"
"GAL3.47"	"GAL80.33"	"GAL4.WT"
"GAL3.48"	"GAL80.33"	"GAL4.WT"
"GAL3.01"	"GAL80.34"	"GAL4.WT"
"GAL3.02"	"GAL80.34"	"GAL4.WT"
"GAL3.03"	"GAL80.34"	"GAL4.WT"
"GAL3.04"	"GAL80.34"	"GAL4.WT"
"GAL3.05"	"GAL80.34"	"GAL4.WT"
"GAL3.06"	"GAL80.34"	"GAL4.WT"
"GAL3.07"	"GAL80.34"	"GAL4.WT"
"GAL3.08"	"GAL80.34"	"GAL4.WT"
"GAL3.09"	"GAL80.34"	"GAL4.WT"
"GAL3.10"	"GAL80.34"	"GAL4.WT"
"GAL3.11"	"GAL80.34"	"GAL4.WT"
"GAL3.12"	"GAL80.34"	"GAL4.WT"
"GAL3.13"	"GAL80.34"	"GAL4.WT"
"GAL3.14"	"GAL80.34"	"GAL4.WT"
"GAL3.15"	"GAL80.34"	"GAL4.WT"
"GAL3.16"	"GAL80.34"	"GAL4.WT"
"GAL3.17"	"GAL80.34"	"GAL4.WT"
"GAL3.18"	"GAL80.34"	"GAL4.WT"
"GAL3.19"	"GAL80.34"	"GAL4.WT"
"GAL3.20"	"GAL80.34"	"GAL4.WT"
"GAL3.21"	"GAL80.34"	"GAL4.WT"
"GAL3.22"	"GAL80.34"	"GAL4.WT"
"GAL3.23"	"GAL80.34"	"GAL4.WT"
"GAL3.24"	"GAL80.34"	"GAL4.WT"
"GAL3.25"	"GAL80.34"	"GAL4.WT"
"GAL3.26"	"GAL80.34"	"GAL4.WT"
"GAL3.27"	"GAL80.34"	"GAL4.WT"
"GAL3.28"	"GAL80.34"	"GAL4.WT"
"GAL3.29"	"GAL80.34"	"GAL4.WT"
"GAL3.30"	"GAL80.34"	"GAL4.WT"
"GAL3.31"	"GAL80.34"	"GAL4.WT"
"GAL3.32"	"GAL80.34"	"GAL4.WT"
"GAL3.33"	"GAL80.34"	"GAL4.WT"
"GAL3.34"	"GAL80.34"	"GAL4.WT"
"GAL3.35"	"GAL80.34"	"GAL4.WT"
"GAL3.36"	"GAL80.34"	"GAL4.WT"
"GAL3.37"	"GAL80.34"	"GAL4.WT"
"GAL3.38"	"GAL80.34"	"GAL4.WT"
"GAL3.39"	"GAL80.34"	"GAL4.WT"
"GAL3.40"	"GAL80.34"	"GAL4.WT"
"GAL3.41"	"GAL80.34"	"GAL4.WT"
"GAL3.42"	"GAL80.34"	"GAL4.WT"
"GAL3.43"	"GAL80.34"	"GAL4.WT"
"GAL3.44"	"GAL80.34"	"GAL4.WT"
"GAL3.45"	"GAL80.34"	"GAL4.WT"
"GAL3.46"	"GAL80.34"	"GAL4.WT"
"GAL3.47"	"GAL80.34"	"GAL4.WT"
"GAL3.48"	"GAL80.34"	"GAL4.WT"
"GAL3.01"	"GAL80.35"	"GAL4.WT"
"GAL3.02"	"GAL80.35"	"GAL4.WT"
"GAL3.03"	"GAL80.35"	"GAL4.WT"
"GAL3.04"	"GAL80.35"	"GAL4.WT"
"GAL3.05"	"GAL80.35"	"GAL4.WT"
"GAL3.06"	"GAL80.35"	"GAL4.WT"
"GAL3.07"	"GAL80.35"	"GAL4.WT"
"GAL3.08"	"GAL80.35"	"GAL4.WT"
"GAL3.09"	"GAL80.35"	"GAL4.WT"
"GAL3.10"	"GAL80.35"	"GAL4.WT"
"GAL3.11"	"GAL80.35"	"GAL4.WT"
"GAL3.12"	"GAL80.35"	"GAL4.WT"
"GAL3.13"	"GAL80.35"	"GAL4.WT"
"GAL3.14"	"GAL80.35"	"GAL4.WT"
"GAL3.15"	"GAL80.35"	"GAL4.WT"
"GAL3.16"	"GAL80.35"	"GAL4.WT"
"GAL3.17"	"GAL80.35"	"GAL4.WT"
"GAL3.18"	"GAL80.35"	"GAL4.WT"
"GAL3.19"	"GAL80.35"	"GAL4.WT"
"GAL3.20"	"GAL80.35"	"GAL4.WT"
"GAL3.21"	"GAL80.35"	"GAL4.WT"
"GAL3.22"	"GAL80.35"	"GAL4.WT"
"GAL3.23"	"GAL80.35"	"GAL4.WT"
"GAL3.24"	"GAL80.35"	"GAL4.WT"
"GAL3.25"	"GAL80.35"	"GAL4.WT"
"GAL3.26"	"GAL80.35"	"GAL4.WT"
"GAL3.27"	"GAL80.35"	"GAL4.WT"
"GAL3.28"	"GAL80.35"	"GAL4.WT"
"GAL3.29"	"GAL80.35"	"GAL4.WT"
"GAL3.30"	"GAL80.35"	"GAL4.WT"
"GAL3.31"	"GAL80.35"	"GAL4.WT"
"GAL3.32"	"GAL80.35"	"GAL4.WT"
"GAL3.33"	"GAL80.35"	"GAL4.WT"
"GAL3.34"	"GAL80.35"	"GAL4.WT"
"GAL3.35"	"GAL80.35"	"GAL4.WT"
"GAL3.36"	"GAL80.35"	"GAL4.WT"
"GAL3.37"	"GAL80.35"	"GAL4.WT"
"GAL3.38"	"GAL80.35"	"GAL4.WT"
"GAL3.39"	"GAL80.35"	"GAL4.WT"
"GAL3.40"	"GAL80.35"	"GAL4.WT"
"GAL3.41"	"GAL80.35"	"GAL4.WT"
"GAL3.42"	"GAL80.35"	"GAL4.WT"
"GAL3.43"	"GAL80.35"	"GAL4.WT"
"GAL3.44"	"GAL80.35"	"GAL4.WT"
"GAL3.45"	"GAL80.35"	"GAL4.WT"
"GAL3.46"	"GAL80.35"	"GAL4.WT"
"GAL3.47"	"GAL80.35"	"GAL4.WT"
"GAL3.48"	"GAL80.35"	"GAL4.WT"
"GAL3.01"	"GAL80.36"	"GAL4.WT"
"GAL3.02"	"GAL80.36"	"GAL4.WT"
"GAL3.03"	"GAL80.36"	"GAL4.WT"
"GAL3.04"	"GAL80.36"	"GAL4.WT"
"GAL3.05"	"GAL80.36"	"GAL4.WT"
"GAL3.06"	"GAL80.36"	"GAL4.WT"
"GAL3.07"	"GAL80.36"	"GAL4.WT"
"GAL3.08"	"GAL80.36"	"GAL4.WT"
"GAL3.09"	"GAL80.36"	"GAL4.WT"
"GAL3.10"	"GAL80.36"	"GAL4.WT"
"GAL3.11"	"GAL80.36"	"GAL4.WT"
"GAL3.12"	"GAL80.36"	"GAL4.WT"
"GAL3.13"	"GAL80.36"	"GAL4.WT"
"GAL3.14"	"GAL80.36"	"GAL4.WT"
"GAL3.15"	"GAL80.36"	"GAL4.WT"
"GAL3.16"	"GAL80.36"	"GAL4.WT"
"GAL3.17"	"GAL80.36"	"GAL4.WT"
"GAL3.18"	"GAL80.36"	"GAL4.WT"
"GAL3.19"	"GAL80.36"	"GAL4.WT"
"GAL3.20"	"GAL80.36"	"GAL4.WT"
"GAL3.21"	"GAL80.36"	"GAL4.WT"
"GAL3.22"	"GAL80.36"	"GAL4.WT"
"GAL3.23"	"GAL80.36"	"GAL4.WT"
"GAL3.24"	"GAL80.36"	"GAL4.WT"
"GAL3.25"	"GAL80.36"	"GAL4.WT"
"GAL3.26"	"GAL80.36"	"GAL4.WT"
"GAL3.27"	"GAL80.36"	"GAL4.WT"
"GAL3.28"	"GAL80.36"	"GAL4.WT"
"GAL3.29"	"GAL80.36"	"GAL4.WT"
"GAL3.30"	"GAL80.36"	"GAL4.WT"
"GAL3.31"	"GAL80.36"	"GAL4.WT"
"GAL3.32"	"GAL80.36"	"GAL4.WT"
"GAL3.33"	"GAL80.36"	"GAL4.WT"
"GAL3.34"	"GAL80.36"	"GAL4.WT"
"GAL3.35"	"GAL80.36"	"GAL4.WT"
"GAL3.36"	"GAL80.36"	"GAL4.WT"
"GAL3.37"	"GAL80.36"	"GAL4.WT"
"GAL3.38"	"GAL80.36"	"GAL4.WT"
"GAL3.39"	"GAL80.36"	"GAL4.WT"
"GAL3.40"	"GAL80.36"	"GAL4.WT"
"GAL3.41"	"GAL80.36"	"GAL4.WT"
"GAL3.42"	"GAL80.36"	"GAL4.WT"
"GAL3.43"	"GAL80.36"	"GAL4.WT"
"GAL3.44"	"GAL80.36"	"GAL4.WT"
"GAL3.45"	"GAL80.36"	"GAL4.WT"
"GAL3.46"	"GAL80.36"	"GAL4.WT"
"GAL3.47"	"GAL80.36"	"GAL4.WT"
"GAL3.48"	"GAL80.36"	"GAL4.WT"
"GAL3.01"	"GAL80.37"	"GAL4.WT"
"GAL3.02"	"GAL80.37"	"GAL4.WT"
"GAL3.03"	"GAL80.37"	"GAL4.WT"
"GAL3.04"	"GAL80.37"	"GAL4.WT"
"GAL3.05"	"GAL80.37"	"GAL4.WT"
"GAL3.06"	"GAL80.37"	"GAL4.WT"
"GAL3.07"	"GAL80.37"	"GAL4.WT"
"GAL3.08"	"GAL80.37"	"GAL4.WT"
"GAL3.09"	"GAL80.37"	"GAL4.WT"
"GAL3.10"	"GAL80.37"	"GAL4.WT"
"GAL3.11"	"GAL80.37"	"GAL4.WT"
"GAL3.12"	"GAL80.37"	"GAL4.WT"
"GAL3.13"	"GAL80.37"	"GAL4.WT"
"GAL3.14"	"GAL80.37"	"GAL4.WT"
"GAL3.15"	"GAL80.37"	"GAL4.WT"
"GAL3.16"	"GAL80.37"	"GAL4.WT"
"GAL3.17"	"GAL80.37"	"GAL4.WT"
"GAL3.18"	"GAL80.37"	"GAL4.WT"
"GAL3.19"	"GAL80.37"	"GAL4.WT"
"GAL3.20"	"GAL80.37"	"GAL4.WT"
"GAL3.21"	"GAL80.37"	"GAL4.WT"
"GAL3.22"	"GAL80.37"	"GAL4.WT"
"GAL3.23"	"GAL80.37"	"GAL4.WT"
"GAL3.24"	"GAL80.37"	"GAL4.WT"
"GAL3.25"	"GAL80.37"	"GAL4.WT"
"GAL3.26"	"GAL80.37"	"GAL4.WT"
"GAL3.27"	"GAL80.37"	"GAL4.WT"
"GAL3.28"	"GAL80.37"	"GAL4.WT"
"GAL3.29"	"GAL80.37"	"GAL4.WT"
"GAL3.30"	"GAL80.37"	"GAL4.WT"
"GAL3.31"	"GAL80.37"	"GAL4.WT"
"GAL3.32"	"GAL80.37"	"GAL4.WT"
"GAL3.33"	"GAL80.37"	"GAL4.WT"
"GAL3.34"	"GAL80.37"	"GAL4.WT"
"GAL3.35"	"GAL80.37"	"GAL4.WT"
"GAL3.36"	"GAL80.37"	"GAL4.WT"
"GAL3.37"	"GAL80.37"	"GAL4.WT"
"GAL3.38"	"GAL80.37"	"GAL4.WT"
"GAL3.39"	"GAL80.37"	"GAL4.WT"
"GAL3.40"	"GAL80.37"	"GAL4.WT"
"GAL3.41"	"GAL80.37"	"GAL4.WT"
"GAL3.42"	"GAL80.37"	"GAL4.WT"
"GAL3.43"	"GAL80.37"	"GAL4.WT"
"GAL3.44"	"GAL80.37"	"GAL4.WT"
"GAL3.45"	"GAL80.37"	"GAL4.WT"
"GAL3.46"	"GAL80.37"	"GAL4.WT"
"GAL3.47"	"GAL80.37"	"GAL4.WT"
"GAL3.48"	"GAL80.37"	"GAL4.WT"
"GAL3.01"	"GAL80.38"	"GAL4.WT"
"GAL3.02"	"GAL80.38"	"GAL4.WT"
"GAL3.03"	"GAL80.38"	"GAL4.WT"
"GAL3.04"	"GAL80.38"	"GAL4.WT"
"GAL3.05"	"GAL80.38"	"GAL4.WT"
"GAL3.06"	"GAL80.38"	"GAL4.WT"
"GAL3.07"	"GAL80.38"	"GAL4.WT"
"GAL3.08"	"GAL80.38"	"GAL4.WT"
"GAL3.09"	"GAL80.38"	"GAL4.WT"
"GAL3.10"	"GAL80.38"	"GAL4.WT"
"GAL3.11"	"GAL80.38"	"GAL4.WT"
"GAL3.12"	"GAL80.38"	"GAL4.WT"
"GAL3.13"	"GAL80.38"	"GAL4.WT"
"GAL3.14"	"GAL80.38"	"GAL4.WT"
"GAL3.15"	"GAL80.38"	"GAL4.WT"
"GAL3.16"	"GAL80.38"	"GAL4.WT"
"GAL3.17"	"GAL80.38"	"GAL4.WT"
"GAL3.18"	"GAL80.38"	"GAL4.WT"
"GAL3.19"	"GAL80.38"	"GAL4.WT"
"GAL3.20"	"GAL80.38"	"GAL4.WT"
"GAL3.21"	"GAL80.38"	"GAL4.WT"
"GAL3.22"	"GAL80.38"	"GAL4.WT"
"GAL3.23"	"GAL80.38"	"GAL4.WT"
"GAL3.24"	"GAL80.38"	"GAL4.WT"
"GAL3.25"	"GAL80.38"	"GAL4.WT"
"GAL3.26"	"GAL80.38"	"GAL4.WT"
"GAL3.27"	"GAL80.38"	"GAL4.WT"
"GAL3.28"	"GAL80.38"	"GAL4.WT"
"GAL3.29"	"GAL80.38"	"GAL4.WT"
"GAL3.30"	"GAL80.38"	"GAL4.WT"
"GAL3.31"	"GAL80.38"	"GAL4.WT"
"GAL3.32"	"GAL80.38"	"GAL4.WT"
"GAL3.33"	"GAL80.38"	"GAL4.WT"
"GAL3.34"	"GAL80.38"	"GAL4.WT"
"GAL3.35"	"GAL80.38"	"GAL4.WT"
"GAL3.36"	"GAL80.38"	"GAL4.WT"
"GAL3.37"	"GAL80.38"	"GAL4.WT"
"GAL3.38"	"GAL80.38"	"GAL4.WT"
"GAL3.39"	"GAL80.38"	"GAL4.WT"
"GAL3.40"	"GAL80.38"	"GAL4.WT"
"GAL3.41"	"GAL80.38"	"GAL4.WT"
"GAL3.42"	"GAL80.38"	"GAL4.WT"
"GAL3.43"	"GAL80.38"	"GAL4.WT"
"GAL3.44"	"GAL80.38"	"GAL4.WT"
"GAL3.45"	"GAL80.38"	"GAL4.WT"
"GAL3.46"	"GAL80.38"	"GAL4.WT"
"GAL3.47"	"GAL80.38"	"GAL4.WT"
"GAL3.48"	"GAL80.38"	"GAL4.WT"
"GAL3.01"	"GAL80.39"	"GAL4.WT"
"GAL3.02"	"GAL80.39"	"GAL4.WT"
"GAL3.03"	"GAL80.39"	"GAL4.WT"
"GAL3.04"	"GAL80.39"	"GAL4.WT"
"GAL3.05"	"GAL80.39"	"GAL4.WT"
"GAL3.06"	"GAL80.39"	"GAL4.WT"
"GAL3.07"	"GAL80.39"	"GAL4.WT"
"GAL3.08"	"GAL80.39"	"GAL4.WT"
"GAL3.09"	"GAL80.39"	"GAL4.WT"
"GAL3.10"	"GAL80.39"	"GAL4.WT"
"GAL3.11"	"GAL80.39"	"GAL4.WT"
"GAL3.12"	"GAL80.39"	"GAL4.WT"
"GAL3.13"	"GAL80.39"	"GAL4.WT"
"GAL3.14"	"GAL80.39"	"GAL4.WT"
"GAL3.15"	"GAL80.39"	"GAL4.WT"
"GAL3.16"	"GAL80.39"	"GAL4.WT"
"GAL3.17"	"GAL80.39"	"GAL4.WT"
"GAL3.18"	"GAL80.39"	"GAL4.WT"
"GAL3.19"	"GAL80.39"	"GAL4.WT"
"GAL3.20"	"GAL80.39"	"GAL4.WT"
"GAL3.21"	"GAL80.39"	"GAL4.WT"
"GAL3.22"	"GAL80.39"	"GAL4.WT"
"GAL3.23"	"GAL80.39"	"GAL4.WT"
"GAL3.24"	"GAL80.39"	"GAL4.WT"
"GAL3.25"	"GAL80.39"	"GAL4.WT"
"GAL3.26"	"GAL80.39"	"GAL4.WT"
"GAL3.27"	"GAL80.39"	"GAL4.WT"
"GAL3.28"	"GAL80.39"	"GAL4.WT"
"GAL3.29"	"GAL80.39"	"GAL4.WT"
"GAL3.30"	"GAL80.39"	"GAL4.WT"
"GAL3.31"	"GAL80.39"	"GAL4.WT"
"GAL3.32"	"GAL80.39"	"GAL4.WT"
"GAL3.33"	"GAL80.39"	"GAL4.WT"
"GAL3.34"	"GAL80.39"	"GAL4.WT"
"GAL3.35"	"GAL80.39"	"GAL4.WT"
"GAL3.36"	"GAL80.39"	"GAL4.WT"
"GAL3.37"	"GAL80.39"	"GAL4.WT"
"GAL3.38"	"GAL80.39"	"GAL4.WT"
"GAL3.39"	"GAL80.39"	"GAL4.WT"
"GAL3.40"	"GAL80.39"	"GAL4.WT"
"GAL3.41"	"GAL80.39"	"GAL4.WT"
"GAL3.42"	"GAL80.39"	"GAL4.WT"
"GAL3.43"	"GAL80.39"	"GAL4.WT"
"GAL3.44"	"GAL80.39"	"GAL4.WT"
"GAL3.45"	"GAL80.39"	"GAL4.WT"
"GAL3.46"	"GAL80.39"	"GAL4.WT"
"GAL3.47"	"GAL80.39"	"GAL4.WT"
"GAL3.48"	"GAL80.39"	"GAL4.WT"
"GAL3.01"	"GAL80.40"	"GAL4.WT"
"GAL3.02"	"GAL80.40"	"GAL4.WT"
"GAL3.03"	"GAL80.40"	"GAL4.WT"
"GAL3.04"	"GAL80.40"	"GAL4.WT"
"GAL3.05"	"GAL80.40"	"GAL4.WT"
"GAL3.06"	"GAL80.40"	"GAL4.WT"
"GAL3.07"	"GAL80.40"	"GAL4.WT"
"GAL3.08"	"GAL80.40"	"GAL4.WT"
"GAL3.09"	"GAL80.40"	"GAL4.WT"
"GAL3.10"	"GAL80.40"	"GAL4.WT"
"GAL3.11"	"GAL80.40"	"GAL4.WT"
"GAL3.12"	"GAL80.40"	"GAL4.WT"
"GAL3.13"	"GAL80.40"	"GAL4.WT"
"GAL3.14"	"GAL80.40"	"GAL4.WT"
"GAL3.15"	"GAL80.40"	"GAL4.WT"
"GAL3.16"	"GAL80.40"	"GAL4.WT"
"GAL3.17"	"GAL80.40"	"GAL4.WT"
"GAL3.18"	"GAL80.40"	"GAL4.WT"
"GAL3.19"	"GAL80.40"	"GAL4.WT"
"GAL3.20"	"GAL80.40"	"GAL4.WT"
"GAL3.21"	"GAL80.40"	"GAL4.WT"
"GAL3.22"	"GAL80.40"	"GAL4.WT"
"GAL3.23"	"GAL80.40"	"GAL4.WT"
"GAL3.24"	"GAL80.40"	"GAL4.WT"
"GAL3.25"	"GAL80.40"	"GAL4.WT"
"GAL3.26"	"GAL80.40"	"GAL4.WT"
"GAL3.27"	"GAL80.40"	"GAL4.WT"
"GAL3.28"	"GAL80.40"	"GAL4.WT"
"GAL3.29"	"GAL80.40"	"GAL4.WT"
"GAL3.30"	"GAL80.40"	"GAL4.WT"
"GAL3.31"	"GAL80.40"	"GAL4.WT"
"GAL3.32"	"GAL80.40"	"GAL4.WT"
"GAL3.33"	"GAL80.40"	"GAL4.WT"
"GAL3.34"	"GAL80.40"	"GAL4.WT"
"GAL3.35"	"GAL80.40"	"GAL4.WT"
"GAL3.36"	"GAL80.40"	"GAL4.WT"
"GAL3.37"	"GAL80.40"	"GAL4.WT"
"GAL3.38"	"GAL80.40"	"GAL4.WT"
"GAL3.39"	"GAL80.40"	"GAL4.WT"
"GAL3.40"	"GAL80.40"	"GAL4.WT"
"GAL3.41"	"GAL80.40"	"GAL4.WT"
"GAL3.42"	"GAL80.40"	"GAL4.WT"
"GAL3.43"	"GAL80.40"	"GAL4.WT"
"GAL3.44"	"GAL80.40"	"GAL4.WT"
"GAL3.45"	"GAL80.40"	"GAL4.WT"
"GAL3.46"	"GAL80.40"	"GAL4.WT"
"GAL3.47"	"GAL80.40"	"GAL4.WT"
"GAL3.48"	"GAL80.40"	"GAL4.WT"
"GAL3.01"	"GAL80.41"	"GAL4.WT"
"GAL3.02"	"GAL80.41"	"GAL4.WT"
"GAL3.03"	"GAL80.41"	"GAL4.WT"
"GAL3.04"	"GAL80.41"	"GAL4.WT"
"GAL3.05"	"GAL80.41"	"GAL4.WT"
"GAL3.06"	"GAL80.41"	"GAL4.WT"
"GAL3.07"	"GAL80.41"	"GAL4.WT"
"GAL3.08"	"GAL80.41"	"GAL4.WT"
"GAL3.09"	"GAL80.41"	"GAL4.WT"
"GAL3.10"	"GAL80.41"	"GAL4.WT"
"GAL3.11"	"GAL80.41"	"GAL4.WT"
"GAL3.12"	"GAL80.41"	"GAL4.WT"
"GAL3.13"	"GAL80.41"	"GAL4.WT"
"GAL3.14"	"GAL80.41"	"GAL4.WT"
"GAL3.15"	"GAL80.41"	"GAL4.WT"
"GAL3.16"	"GAL80.41"	"GAL4.WT"
"GAL3.17"	"GAL80.41"	"GAL4.WT"
"GAL3.18"	"GAL80.41"	"GAL4.WT"
"GAL3.19"	"GAL80.41"	"GAL4.WT"
"GAL3.20"	"GAL80.41"	"GAL4.WT"
"GAL3.21"	"GAL80.41"	"GAL4.WT"
"GAL3.22"	"GAL80.41"	"GAL4.WT"
"GAL3.23"	"GAL80.41"	"GAL4.WT"
"GAL3.24"	"GAL80.41"	"GAL4.WT"
"GAL3.25"	"GAL80.41"	"GAL4.WT"
"GAL3.26"	"GAL80.41"	"GAL4.WT"
"GAL3.27"	"GAL80.41"	"GAL4.WT"
"GAL3.28"	"GAL80.41"	"GAL4.WT"
"GAL3.29"	"GAL80.41"	"GAL4.WT"
"GAL3.30"	"GAL80.41"	"GAL4.WT"
"GAL3.31"	"GAL80.41"	"GAL4.WT"
"GAL3.32"	"GAL80.41"	"GAL4.WT"
"GAL3.33"	"GAL80.41"	"GAL4.WT"
"GAL3.34"	"GAL80.41"	"GAL4.WT"
"GAL3.35"	"GAL80.41"	"GAL4.WT"
"GAL3.36"	"GAL80.41"	"GAL4.WT"
"GAL3.37"	"GAL80.41"	"GAL4.WT"
"GAL3.38"	"GAL80.41"	"GAL4.WT"
"GAL3.39"	"GAL80.41"	"GAL4.WT"
"GAL3.40"	"GAL80.41"	"GAL4.WT"
"GAL3.41"	"GAL80.41"	"GAL4.WT"
"GAL3.42"	"GAL80.41"	"GAL4.WT"
"GAL3.43"	"GAL80.41"	"GAL4.WT"
"GAL3.44"	"GAL80.41"	"GAL4.WT"
"GAL3.45"	"GAL80.41"	"GAL4.WT"
"GAL3.46"	"GAL80.41"	"GAL4.WT"
"GAL3.47"	"GAL80.41"	"GAL4.WT"
"GAL3.48"	"GAL80.41"	"GAL4.WT"
"GAL3.01"	"GAL80.42"	"GAL4.WT"
"GAL3.02"	"GAL80.42"	"GAL4.WT"
"GAL3.03"	"GAL80.42"	"GAL4.WT"
"GAL3.04"	"GAL80.42"	"GAL4.WT"
"GAL3.05"	"GAL80.42"	"GAL4.WT"
"GAL3.06"	"GAL80.42"	"GAL4.WT"
"GAL3.07"	"GAL80.42"	"GAL4.WT"
"GAL3.08"	"GAL80.42"	"GAL4.WT"
"GAL3.09"	"GAL80.42"	"GAL4.WT"
"GAL3.10"	"GAL80.42"	"GAL4.WT"
"GAL3.11"	"GAL80.42"	"GAL4.WT"
"GAL3.12"	"GAL80.42"	"GAL4.WT"
"GAL3.13"	"GAL80.42"	"GAL4.WT"
"GAL3.14"	"GAL80.42"	"GAL4.WT"
"GAL3.15"	"GAL80.42"	"GAL4.WT"
"GAL3.16"	"GAL80.42"	"GAL4.WT"
"GAL3.17"	"GAL80.42"	"GAL4.WT"
"GAL3.18"	"GAL80.42"	"GAL4.WT"
"GAL3.19"	"GAL80.42"	"GAL4.WT"
"GAL3.20"	"GAL80.42"	"GAL4.WT"
"GAL3.21"	"GAL80.42"	"GAL4.WT"
"GAL3.22"	"GAL80.42"	"GAL4.WT"
"GAL3.23"	"GAL80.42"	"GAL4.WT"
"GAL3.24"	"GAL80.42"	"GAL4.WT"
"GAL3.25"	"GAL80.42"	"GAL4.WT"
"GAL3.26"	"GAL80.42"	"GAL4.WT"
"GAL3.27"	"GAL80.42"	"GAL4.WT"
"GAL3.28"	"GAL80.42"	"GAL4.WT"
"GAL3.29"	"GAL80.42"	"GAL4.WT"
"GAL3.30"	"GAL80.42"	"GAL4.WT"
"GAL3.31"	"GAL80.42"	"GAL4.WT"
"GAL3.32"	"GAL80.42"	"GAL4.WT"
"GAL3.33"	"GAL80.42"	"GAL4.WT"
"GAL3.34"	"GAL80.42"	"GAL4.WT"
"GAL3.35"	"GAL80.42"	"GAL4.WT"
"GAL3.36"	"GAL80.42"	"GAL4.WT"
"GAL3.37"	"GAL80.42"	"GAL4.WT"
"GAL3.38"	"GAL80.42"	"GAL4.WT"
"GAL3.39"	"GAL80.42"	"GAL4.WT"
"GAL3.40"	"GAL80.42"	"GAL4.WT"
"GAL3.41"	"GAL80.42"	"GAL4.WT"
"GAL3.42"	"GAL80.42"	"GAL4.WT"
"GAL3.43"	"GAL80.42"	"GAL4.WT"
"GAL3.44"	"GAL80.42"	"GAL4.WT"
"GAL3.45"	"GAL80.42"	"GAL4.WT"
"GAL3.46"	"GAL80.42"	"GAL4.WT"
"GAL3.47"	"GAL80.42"	"GAL4.WT"
"GAL3.48"	"GAL80.42"	"GAL4.WT"
"GAL3.01"	"GAL80.43"	"GAL4.WT"
"GAL3.02"	"GAL80.43"	"GAL4.WT"
"GAL3.03"	"GAL80.43"	"GAL4.WT"
"GAL3.04"	"GAL80.43"	"GAL4.WT"
"GAL3.05"	"GAL80.43"	"GAL4.WT"
"GAL3.06"	"GAL80.43"	"GAL4.WT"
"GAL3.07"	"GAL80.43"	"GAL4.WT"
"GAL3.08"	"GAL80.43"	"GAL4.WT"
"GAL3.09"	"GAL80.43"	"GAL4.WT"
"GAL3.10"	"GAL80.43"	"GAL4.WT"
"GAL3.11"	"GAL80.43"	"GAL4.WT"
"GAL3.12"	"GAL80.43"	"GAL4.WT"
"GAL3.13"	"GAL80.43"	"GAL4.WT"
"GAL3.14"	"GAL80.43"	"GAL4.WT"
"GAL3.15"	"GAL80.43"	"GAL4.WT"
"GAL3.16"	"GAL80.43"	"GAL4.WT"
"GAL3.17"	"GAL80.43"	"GAL4.WT"
"GAL3.18"	"GAL80.43"	"GAL4.WT"
"GAL3.19"	"GAL80.43"	"GAL4.WT"
"GAL3.20"	"GAL80.43"	"GAL4.WT"
"GAL3.21"	"GAL80.43"	"GAL4.WT"
"GAL3.22"	"GAL80.43"	"GAL4.WT"
"GAL3.23"	"GAL80.43"	"GAL4.WT"
"GAL3.24"	"GAL80.43"	"GAL4.WT"
"GAL3.25"	"GAL80.43"	"GAL4.WT"
"GAL3.26"	"GAL80.43"	"GAL4.WT"
"GAL3.27"	"GAL80.43"	"GAL4.WT"
"GAL3.28"	"GAL80.43"	"GAL4.WT"
"GAL3.29"	"GAL80.43"	"GAL4.WT"
"GAL3.30"	"GAL80.43"	"GAL4.WT"
"GAL3.31"	"GAL80.43"	"GAL4.WT"
"GAL3.32"	"GAL80.43"	"GAL4.WT"
"GAL3.33"	"GAL80.43"	"GAL4.WT"
"GAL3.34"	"GAL80.43"	"GAL4.WT"
"GAL3.35"	"GAL80.43"	"GAL4.WT"
"GAL3.36"	"GAL80.43"	"GAL4.WT"
"GAL3.37"	"GAL80.43"	"GAL4.WT"
"GAL3.38"	"GAL80.43"	"GAL4.WT"
"GAL3.39"	"GAL80.43"	"GAL4.WT"
"GAL3.40"	"GAL80.43"	"GAL4.WT"
"GAL3.41"	"GAL80.43"	"GAL4.WT"
"GAL3.42"	"GAL80.43"	"GAL4.WT"
"GAL3.43"	"GAL80.43"	"GAL4.WT"
"GAL3.44"	"GAL80.43"	"GAL4.WT"
"GAL3.45"	"GAL80.43"	"GAL4.WT"
